company_name,slug,company_url,industry,organization_type,tags,commitment_type,status,commitment_deadline,total_reported_emission_scope_1_2_3,revenue,hq_country,year,currency,emission_intensity
3i group plc,3i,,"banks, diverse financials, insurance",Financial Institution,,standard,active,2025-04-30,6983.9,5804.04,United Kingdom,2023,usd,1.2
3m,3m,3m.com,chemicals,Company,,standard,active,2025-11-30,15516000.0,34200.0,United States of America,2022,usd,453.68
a.p. moller - maersk a/s,ap-moller-maersk,maersk.com,water transportation - water transportation,Company,omx120,ba1.5 option 2,target set,2022-02-28,79422000.0,51065.0,Denmark,2023,usd,1555.31
aak,aak,,food and beverage processing,Company,omx120,ba1.5 option 1,target set,2022-12-31,4429357.0,4361.66,Sweden,2023,usd,1015.52
ab anders löfberg,anders-lofberg,lofbergs.se,food and beverage processing,SME,,unknown,unknown,,133585.0,234.33,Sweden,2021,usd,570.07
ab pictura,pictura,,"consumer durables, household and personal products",SME,,unknown,unknown,,8785.44,43.74,Sweden,2022,usd,200.85
ab sagax,sagax,sagax.se,real estate,SME,omx120,unknown,unknown,,49546.0,404.83,Sweden,2023,usd,122.39
ab skf,skf,skf.com,electrical equipment and machinery,Company,omx120,ba1.5 options 1 and 2,target set,2024-01-31,253740.0,9795.98,Sweden,2023,usd,25.9
ab svenska bostäder,svenska-bostader,,real estate,,,unknown,unknown,,13421.0,326.18,Sweden,2023,usd,41.0
abanca,abanca,,unknown,,,unknown,unknown,,3596.43,0.0,,2023,usd,0.0
abb,abb,abb.com,electrical equipment and machinery,Company,omx120,ba1.5 option 2,active,2024-01-31,495134000.0,32235.0,Switzerland,2023,usd,15360.14
abbott laboratories,abbott-laboratories,,unknown,,,unknown,unknown,,1006000.0,41510.0,,2022,usd,24.24
abbvie,abbvie,abbvie.com,"pharmaceuticals, biotechnology and life sciences",Company,,ba1.5 option 1,target set,2023-06-30,528000.0,56740.0,United States of America,2022,usd,9.31
academedia,academedia,,unknown,,,unknown,unknown,,28793.0,0.0,,2022,usd,0.0
accedo broadband ab,accedo-broadband,accedo.tv,software and services,Company,,net-zero,removed,2024-02-29,4616504.0,0.0,Sweden,2022,usd,0.0
accenture plc,accenture,,professional services,Company,,ba1.5 option 2,active,2024-01-31,400457.0,63140.0,Ireland,2022,usd,6.34
acciona s.a.,acciona,,construction and engineering,Company,,ba1.5 options 1 and 2,target set,2024-01-31,202489.0,18423.53,Spain,2023,usd,10.99
accor s.a.,accor,,"hotels, restaurants and leisure, and tourism services",Company,,ba1.5 option 2,removed,2024-01-31,3644000.0,5472.61,France,2023,usd,665.86
addlife,addlife,,unknown,,,unknown,unknown,,4480.0,878.43,,2022,usd,5.1
addtech ab,addtech,addtech.com,electrical equipment and machinery,Company,omx120,net-zero,active,2025-01-31,40822.0,1856.43,Sweden,2022,usd,21.99
advania sverige ab,advania-sverige,,software and services,Company,,ba1.5 option 2,active,2024-01-31,135949.0,437.32,Sweden,2022,usd,310.87
aflac,aflac,,unknown,,,unknown,unknown,,12323.0,22110.0,,2021,usd,0.56
afry (åf pöyry),afry-af-poyry,,professional services,Company,,unknown,unknown,,14553.0,2544.03,Sweden,2023,usd,5.72
agricultural bank of china,agricultural-bank-of-china,,unknown,,,unknown,unknown,,2153908.0,186140.0,,2022,usd,11.57
ahold delhaize,ahold-delhaize,,unknown,,,ba1.5 option 2,active,2024-01-31,88879000.0,95953.68,,2023,usd,926.27
ahréns åkeri ab,ahrens-akeri,ahrens-transport.se,ground transportation - trucking transportation,SME,,unknown,unknown,,5094.8,22.12,Sweden,2023,usd,230.3
aia group limited,aia,,"banks, diverse financials, insurance",Financial Institution,,standard,target set,2023-11-30,42550.0,42600.0,"Hong Kong, China",2020,usd,1.0
airbus,airbus,airbus.com,aerospace and defense,Company,,unknown,unknown,,495655000.0,61924.45,Netherlands,2022,usd,8004.19
akademiska hus,akademiska-hus,,real estate,,,unknown,unknown,,31936.0,708.29,Sweden,2023,usd,45.0
aktia bank,aktia-bank,,unknown,,,unknown,unknown,,216771.0,315.02,,2023,usd,688.11
alfa laval ab,alfa-laval,alfalaval.com,electrical equipment and machinery,Company,omx120,unknown,unknown,,44575608.0,5997.29,Sweden,2023,usd,7432.62
alibaba group,alibaba,,unknown,,,unknown,unknown,,13230000.0,128260.0,,2022,usd,103.15
allianz,allianz,,unknown,,,standard,removed,2021-04-30,136448.0,98770.08,,2023,usd,1.38
allstate,allstate,,unknown,,,unknown,unknown,,106467.0,44800.0,,2020,usd,2.38
alma media,alma-media,almamedia.fi,media,Company,,net-zero,active,2024-01-31,14952.0,330.02,Finland,2023,usd,45.31
