name,slug,type
Actioned on Target dashboard,actioned-on-target-dashboard,company
Energetics Pty Ltd,energetics,company
"GET-IT CO., LTD.",get-it,company
GETLINK,getlink,company
"Getac Precision Technology Vietnam Co., Ltd",getac-precision-technology-vietnam,company
Getac Technology Corporation,getac-technology,company
Getinge AB,getinge,company
L.E. Vegetables Company Aktiebolag,le-vegetables-aktiebolag,company
National Grid Electricity Transmission (NGET),national-grid-electricity-transmission-nget,company
PJSC «Poltavsky Vegetable Oil Extraction Plant – Kernel Group»,pjsc-poltavsky-vegetable-oil-extraction-plant-kernel,company
ROADGET BUSINESS PTE. LTD.,roadget-business-pte,company
Samhällsbyggnadsbolaget i Norden AB,samhallsbyggnadsbolaget-i-norden,company
Sogetrel,sogetrel,company
Svenska Odlarlaget,svenska-odlarlaget,company
Systembolaget AB,systembolaget,company
Target Corporation,target,company
